filters,day,name,board,close,open,high,low,volume,dif,difpct,avg_senti,senticlass,target
AAX OR AIRASIA X,2019-01-03,AAX,Main,0.24,0.23,0.24,0.23,8801100,0.00999999999999998,0.04347826086956519,0.44853043478260873,Positive,Up
AAX OR AIRASIA X,2019-01-04,AAX,Main,0.26,0.24,0.26,0.24,30545800,0.020000000000000014,0.08333333333333348,0.10046666666666663,Positive,Up
AAX OR AIRASIA X,2019-01-07,AAX,Main,0.305,0.26,0.31,0.26,84608800,0.044999999999999984,0.1730769230769229,0.08164285714285713,Positive,Up
AAX OR AIRASIA X,2019-01-08,AAX,Main,0.29,0.3,0.305,0.28,69337400,-0.015000000000000013,-0.049180327868852514,0.17878666666666668,Positive,Down
AAX OR AIRASIA X,2019-01-09,AAX,Main,0.29,0.29,0.3,0.285,15586200,0.0,0.0,0.1779,Positive,Unchanged
AAX OR AIRASIA X,2019-01-10,AAX,Main,0.29,0.29,0.3,0.285,28305200,0.0,0.0,-0.06743333333333333,Negative,Unchanged
AAX OR AIRASIA X,2019-01-11,AAX,Main,0.29,0.295,0.295,0.28,16799600,0.0,0.0,0.5325,Positive,Unchanged
AAX OR AIRASIA X,2019-01-14,AAX,Main,0.285,0.29,0.295,0.28,22089100,-0.0050000000000000044,-0.017241379310344862,0.3927999999999999,Positive,Down
AAX OR AIRASIA X,2019-01-15,AAX,Main,0.3,0.285,0.3,0.285,32894100,0.015000000000000013,0.05263157894736836,0.2056,Positive,Up
AAX OR AIRASIA X,2019-01-16,AAX,Main,0.3,0.3,0.305,0.29,25793300,0.0,0.0,0.0,Neutral,Unchanged
AAX OR AIRASIA X,2019-01-17,AAX,Main,0.295,0.3,0.3,0.29,11649500,-0.0050000000000000044,-0.01666666666666672,0.0,Neutral,Down
AAX OR AIRASIA X,2019-01-18,AAX,Main,0.29,0.295,0.295,0.29,5171300,-0.0050000000000000044,-0.016949152542372947,0.12040000000000001,Positive,Down
AAX OR AIRASIA X,2019-01-22,AAX,Main,0.29,0.29,0.31,0.28,48519200,0.0,0.0,0.100475,Positive,Unchanged
AAX OR AIRASIA X,2019-01-23,AAX,Main,0.285,0.285,0.29,0.28,12168600,-0.0050000000000000044,-0.017241379310344862,-0.12254000000000001,Negative,Down
AAX OR AIRASIA X,2019-01-24,AAX,Main,0.285,0.29,0.295,0.285,8826500,0.0,0.0,0.29188000000000003,Positive,Unchanged
AAX OR AIRASIA X,2019-01-25,AAX,Main,0.29,0.29,0.295,0.285,9333000,0.0050000000000000044,0.01754385964912286,-0.29600000000000004,Negative,Up
AAX OR AIRASIA X,2019-01-28,AAX,Main,0.29,0.29,0.3,0.285,19275900,0.0,0.0,0.1664111111111111,Positive,Unchanged
AAX OR AIRASIA X,2019-01-29,AAX,Main,0.315,0.29,0.315,0.29,41545600,0.025000000000000026,0.0862068965517242,0.6879666666666666,Positive,Up
AAX OR AIRASIA X,2019-01-30,AAX,Main,0.295,0.315,0.315,0.29,24305100,-0.020000000000000014,-0.0634920634920636,0.5745,Positive,Down
AAX OR AIRASIA X,2019-01-31,AAX,Main,0.29,0.295,0.3,0.285,13397800,-0.0050000000000000044,-0.016949152542372947,-0.5106,Negative,Down
