,name,day,close,open,high,low,volume,dif
307,AAX,2019-01-02,0.23,0.235,0.24,0.23,8250400,
308,AAX,2019-01-03,0.24,0.23,0.24,0.23,8801100,0.009999999999999981
309,AAX,2019-01-04,0.26,0.24,0.26,0.24,30545800,0.020000000000000018
310,AAX,2019-01-07,0.305,0.26,0.31,0.26,84608800,0.044999999999999984
311,AAX,2019-01-08,0.29,0.3,0.305,0.28,69337400,-0.015000000000000013
312,AAX,2019-01-09,0.29,0.29,0.3,0.285,15586200,0.0
313,AAX,2019-01-10,0.29,0.29,0.3,0.285,28305200,0.0
314,AAX,2019-01-11,0.29,0.295,0.295,0.28,16799600,0.0
315,AAX,2019-01-14,0.285,0.29,0.295,0.28,22089100,-0.0050000000000000044
316,AAX,2019-01-15,0.3,0.285,0.3,0.285,32894100,0.015000000000000013
317,AAX,2019-01-16,0.3,0.3,0.305,0.29,25793300,0.0
318,AAX,2019-01-17,0.295,0.3,0.3,0.29,11649500,-0.0050000000000000044
319,AAX,2019-01-18,0.29,0.295,0.295,0.29,5171300,-0.0050000000000000044
320,AAX,2019-01-22,0.29,0.29,0.31,0.28,48519200,0.0
321,AAX,2019-01-23,0.285,0.285,0.29,0.28,12168600,-0.0050000000000000044
322,AAX,2019-01-24,0.285,0.29,0.295,0.285,8826500,0.0
323,AAX,2019-01-25,0.29,0.29,0.295,0.285,9333000,0.0050000000000000044
324,AAX,2019-01-28,0.29,0.29,0.3,0.285,19275900,0.0
325,AAX,2019-01-29,0.315,0.29,0.315,0.29,41545600,0.025000000000000022
326,AAX,2019-01-30,0.295,0.315,0.315,0.29,24305100,-0.020000000000000018
327,AAX,2019-01-31,0.29,0.295,0.3,0.285,13397800,-0.0050000000000000044
328,AAX,2019-02-04,0.295,0.29,0.295,0.285,2467000,0.0050000000000000044
329,AAX,2019-02-07,0.29,0.29,0.295,0.285,7705500,-0.0050000000000000044
330,AAX,2019-02-08,0.285,0.285,0.295,0.285,9437900,-0.0050000000000000044
331,AAX,2019-02-11,0.285,0.29,0.29,0.28,12077500,0.0
332,AAX,2019-02-12,0.285,0.29,0.29,0.285,3861800,0.0
333,AAX,2019-02-13,0.285,0.285,0.295,0.285,8176500,0.0
334,AAX,2019-02-14,0.285,0.285,0.29,0.28,10942800,0.0
